symbol,name,marketCap,sector,industry,country
BCRX,BioCryst Pharmaceuticals Inc. Common Stock,2189935850.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),United States
BCS,Barclays PLC Common Stock,81620920529.0,Finance,Commercial Banks,United Kingdom
BDC,Belden Inc Common Stock,4459993939.0,Industrials,Telecommunications Equipment,United States
BDX,Becton Dickinson and Company Common Stock,49716038736.0,Health Care,Medical/Dental Instruments,United States
BE,Bloom Energy Corporation Class A Common Stock,81050980346.0,Energy,Industrial Machinery/Components,United States
BEAM,Beam Therapeutics Inc. Common Stock,2517120396.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),United States
BELFA,Bel Fuse Inc. Class A Common Stock,2947958112.0,,,United States
BELFB,Bel Fuse Inc. Class B Common Stock,3668775456.0,,,United States
BEN,Franklin Templeton Inc. Common Stock,16619195726.0,Finance,Investment Managers,United States
BEPC,Brookfield Renewable Corporation Brookfield Renewable Corporation Class A Subordinate Voting Shares,11012615757.0,Utilities,Electric Utilities: Central,United States
BETA,Beta Technologies Inc. Class A Common Stock,5694125400.0,Industrials,Aerospace,United States
BFAM,Bright Horizons Family Solutions Inc. Common Stock,3234734202.0,Consumer Discretionary,Other Consumer Services,United States
BFH,Bread Financial Holdings Inc. Common Stock,3810807193.0,Consumer Discretionary,Business Services,United States
BFLY,Butterfly Network Inc. Class A Common Stock,2449823684.0,Health Care,Medical Electronics,United States
BG,Bunge Limited Common Shares,21417439832.0,Consumer Staples,Packaged Foods,United States
BGC,BGC Group Inc. Class A Common Stock,5753144916.0,Finance,Investment Bankers/Brokers/Service,United States
BGR,BlackRock Energy and Resources Trust,2325303227.0,Finance,Trusts Except Educational Religious and Charitable,United States
BGSI,Boyd Group Services Inc. Common Shares,2216058590.0,,,Canada
BHC,Bausch Health Companies Inc. Common Stock,2135486103.0,Health Care,Biotechnology: Pharmaceutical Preparations,Canada
BHE,Benchmark Electronics Inc. Common Stock,2985305632.0,Technology,Electrical Products,United States
BHF,Brighthouse Financial Inc. Common Stock,2990026160.0,Finance,Life Insurance,United States
BHVN,Biohaven Ltd. Common Shares ,2064768486.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
BIDU,Baidu Inc. ADS,30547883725.0,Technology,Computer Software: Programming Data Processing,China
BIIB,Biogen Inc. Common Stock,33618467165.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),United States
BILL,BILL Holdings Inc. Common Stock,3915909829.0,Technology,Computer Software: Prepackaged Software,United States
BIO,Bio-Rad Laboratories Inc. Class A Common Stock,10130559744.0,Industrials,Biotechnology: Laboratory Analytical Instruments,United States
BIPC,Brookfield Infrastructure Corporation Brookfield Infrastructure Corporation,4364593382.0,Consumer Discretionary,Marine Transportation,Canada
BIRK,Birkenstock Holding plc Ordinary Shares,5188265330.0,Consumer Discretionary,Shoe Manufacturing,
BJ,BJ's Wholesale Club Holdings Inc. Common Stock,11365795986.0,Consumer Discretionary,Department/Specialty Retail Stores,United States
BKD,Brookdale Senior Living Inc. Common Stock,2667588705.0,Health Care,Hospital/Nursing Management,United States
BKE,Buckle Inc. (The) Common Stock,2134675265.0,Consumer Discretionary,Clothing/Shoe/Accessory Stores,United States
BKH,Black Hills Corporation Common Stock,5376608972.0,Utilities,Electric Utilities: Central,United States
BKNG,Booking Holdings Inc. Common Stock,117140219950.0,Consumer Discretionary,Transportation Services,United States
BKR,Baker Hughes Company Class A Common Stock,57604876340.0,Consumer Discretionary,Oil and Gas Field Machinery,United States
BKU,BankUnited Inc. Common Stock,3088630317.0,Finance,Savings Institutions,United States
BKV,BKV Corporation Common Stock,2546618304.0,Energy,Oil & Gas Production,United States
BLCO,Bausch + Lomb Corporation Common Shares,6089667444.0,Health Care,Ophthalmic Goods,
BLDR,Builders FirstSource Inc. Common Stock,6365406396.0,Consumer Discretionary,RETAIL: Building Materials,United States
BLK,BlackRock Inc. Common Stock,164299248181.0,Finance,Investment Bankers/Brokers/Service,United States
BLLN,BillionToOne Inc. Class A Common Stock,5399140888.0,Health Care,Medical Specialities,United States
BLSH,Bullish Ordinary Shares,6403209414.0,Finance,Finance: Consumer Services,Cayman Islands
BLX,Bladex Inc. Class E Common Stock,2077340275.0,Finance,Commercial Banks,Panama
BMA,Banco Macro S.A.  ADR (representing Ten Class B Common Shares),4603610160.0,Finance,Commercial Banks,Argentina
BMI,Badger Meter Inc. Common Stock,3855250651.0,Industrials,Industrial Machinery/Components,United States
BMNR,BitMine Immersion Technologies Inc. Common Stock,16564596779.0,Finance,Finance: Consumer Services,United States
BMO,Bank Of Montreal Common Stock,118422864418.0,Finance,Commercial Banks,Canada
BMRN,BioMarin Pharmaceutical Inc. Common Stock,12042223547.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
BMY,Bristol-Myers Squibb Company Common Stock,124912001214.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
BN,Brookfield Corporation Class A Limited Voting Shares,90898305075.0,Real Estate,Building operators,Canada
BNL,Broadstone Net Lease Inc. Common Stock,3628696082.0,Real Estate,Real Estate Investment Trusts,United States
BNS,Bank Nova Scotia Halifax Pfd 3 Ordinary Shares,113171133960.0,Finance,Major Banks,Canada
BNT,Brookfield Wealth Solutions Ltd. Class A Exchangeable Limited Voting Shares,12533569873.0,Finance,Property-Casualty Insurers,
BNTX,BioNTech SE American Depositary Share,24733581876.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Germany
BNY,The Bank of New York Mellon Corporation Common Stock,101443154270.0,Finance,Major Banks,United States
BOH,Bank of Hawaii Corporation Common Stock,2774940855.0,Finance,Major Banks,United States
BOKF,BOK Financial Corporation Common Stock,7934937493.0,Finance,Major Banks,United States
BOOT,Boot Barn Holdings Inc. Common Stock,3770160230.0,Consumer Discretionary,Clothing/Shoe/Accessory Stores,United States
BOX,Box Inc. Class A Common Stock,4494697323.0,Technology,Computer Software: Prepackaged Software,United States
BP,BP p.l.c. Common Stock,116471723540.0,Energy,Integrated oil Companies,United Kingdom
BPOP,Popular Inc. Common Stock,10133128239.0,Finance,Major Banks,United States
BR,Broadridge Financial Solutions Inc. Common Stock,18636862883.0,Consumer Discretionary,Business Services,United States
BRC,Brady Corporation Common Stock,3931092117.0,Consumer Discretionary,Miscellaneous manufacturing industries,United States
